,What Programming Language did you use?,What Game Engine (if any) did you use?,"What Programming Library/Framework did you use, if any?",What image editor did you use?,What sound effect generator/editor did you use?,What's your username/handle?,What's the name of your game?,What's the URL for your entry on the Ludum Dare site?,Did you finish?,What music composition software did you use?,What map/level editor did you use?,What timelapse capture tool did you use?,What OS did you develop on?,What modeling tool did you use?,Timelapse URL,Post-Mortem URL,Valid
4/25/2012 15:45:56,C++,,Custom (SDL-based),Inkscape,,NiallM,Dwindling Worlds,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=785,,Tracktion,,,"Windows, Mac, Linux",,,,
4/25/2012 16:34:01,C++,,SFML,Gimp,SFXR,Hazematman,SOTU,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10252,,Sunvox,custom,,Linux,,,http://www.ludumdare.com/compo/2012/04/23/sotu-post-mortem/,
4/25/2012 16:45:01,C++,,SFML,Gimp,BFXR,thynnmas,Battle For Tiny Space - Routing Edition,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11885,,,,Chronolapse,Windows,,http://youtu.be/dna2VDh6BR4,http://www.ludumdare.com/compo/2012/04/22/ld-23-post-mortem/,
4/25/2012 18:09:15,C++,Custom,Allegro 5,Paint.Net,SFXR,Valeour,BamSquitch,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=2679,,,Tiled,,Windows,,,http://www.ludumdare.com/compo/2012/04/25/bamsquitch-post-mortem/,
4/25/2012 23:08:38,C++,,SFML 1.6,GIMP,SFXR,feyleaf,Everlasting,http://bit.ly/I3Q3vY,,PXTone,,Chronolapse,Windows,,,,
4/25/2012 23:16:48,C++,,SFML,Gimp,BFXR,ArchaiosFiniks,Wary Forestall,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11258,,MilkyTracker,,,Linux,,,,
4/26/2012 2:24:34,C++,,ClanLib,Inkscape,SFXR,zdanielz,Rudolph the JUMPING SPIDER,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=1860,,FL Studio,,,Windows,,,,
4/26/2012 4:59:19,C++,Proton SDK,Box2d,"Gimp, Inkscape",Audacity,gormio,Around the World in 80 Seconds (or less),http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11119,,Garage Band,rand(),,Linux,,,Coming...,
4/26/2012 9:37:33,C++,Custom,"SDL, OpenGL, OpenAL",Gimp,SFXR,Kvisle,Tiny Quest,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3818,,,Gimp,Custom,Linux,,http://www.youtube.com/watch?v=_xDay5gnObM,,
4/26/2012 12:04:07,C++,Custom,HGE,Paint.net,,DeathBySnail,Wild West World,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=2507,,FL Studio,,Chronolapse,Windows,,http://www.youtube.com/watch?v=xy8QwBWb5_U,,
4/26/2012 12:05:34,C++,MouseEngine (custom),"SDL, OpenAL, Ogg Vorbis, Freetype","Paint.net, Gimp",SFXR,chrismcr,Escape,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7257,,Ableton Live,,,"Windows, Mac",,,,
4/26/2012 13:40:14,C++,,Standard Directmedia Layer (SDL),"Paint.net, MS Paint",SFXR,matt9837,Blue's World,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=4220,,AutoTracker-BU,Custom,,Windows,,,,
4/26/2012 14:13:36,C++,,SFML,Gimp,,korri,FlyAway,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8723,,Sunvox,,,Windows,,,,
4/26/2012 14:37:35,C++,,"DirectX, Custom",Custom,SFXR,Endurion,It's a tiny world,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=103,,ATRK-BU,,,Windows,,,,
4/26/2012 15:32:02,C++,,Pixie,Paint Shop Pro X2,BFXR,Ishisoft,This Precious Land,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8804,,,,,Windows,,,http://www.ludumdare.com/compo/2012/04/26/this-precious-land-postmortem/,
4/26/2012 15:33:37,C++,,OpenGL,Paint.net,SFXR,Helco,Mr.No's Laboratory,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12090,,,,,Windows,,,,
4/26/2012 17:05:31,C++,Custom,OpenGL,Gimp,SFXR,Kvisle,Tiny quest,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3818,,,Gimp,Custom,Linux,,http://www.youtube.com/watch?v=_xDay5gnObM,,
4/26/2012 17:12:39,C++,Custom,SDL,Paint.net,,Robert Swan,Tiny Galaxy,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=1845,,,Custom,,Windows,,,,
4/26/2012 18:19:49,C++,,Custom,Gimp,,ningu,Project AtReL,http://dl.dropbox.com/u/26696457/ProjectAtReL.zip,,,,,Windows,,,,
4/26/2012 23:27:31,C++,,Angel2D,Gimp,Sfxr,10WonXero10,Lemming Apocalypto,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12014,,AudioSauna,Procedural,Chronolapse,Windows,,http://www.youtube.com/watch?v=FAHgWFEBnXY,,
4/27/2012 2:05:31,C++,,CinderLib,Gimp2,BFXR,Gemberkoekje,One Seed,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5952,,Otomata,,Chronolapse,Windows,,http://www.youtube.com/watch?v=UUdHjOYPn6g,http://www.ludumdare.com/compo/2012/04/26/post-fatalis-andor-post-mortem/,
4/27/2012 4:04:13,C++,,"SDL, SDL_image, SDL_mixer, SDL_ttf, openGL",PhotoShop,BFXR,Diventurer,Godly,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7567,,http://www.ludumdare.com/compo/2011/12/13/if-you-find-it-hard-to-make-music-read-this/,,Chronolapse,Windows,,http://www.youtube.com/watch?v=Qmzfkfxy6J4,,
4/27/2012 9:45:27,C++,,SDL,"Paintbrush, Gimp",,CaanonFodda,Micro Warfare,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11562,,,,,Windows,,,,
4/27/2012 22:01:20,C++,Angel Engine,,Gimp,SFXR,aaronsnoswell,TinyColony,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5348,,,,Bash One-liner + FFMPEG :),Mac,,http://youtu.be/jPYm36hWpwU,,
4/28/2012 2:36:59,C++,Psybrus,,Gimp,SFXR,NeiloGD,Fusion Time!,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=1154,,FL Studio,,Chronolapse,Windows,"Blender, Pixexix",http://www.youtube.com/watch?v=5kNElUIq0lc,,
4/28/2012 7:34:09,C++,,Allegro,Paint.net,SFXR,Arkazon,Nom Nom Planet,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=6492,,Audiotracker,,,Windows,,,,
4/29/2012 14:15:37,C++,Custom,"Boost, Bullet, Custom","Gimp, Inkscape",,trylle,Space Cabin,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3066,,,,,Windows,Blender,,,
4/29/2012 21:44:57,C++,Custom,Custom,Inkscape,BFXR,AngelK,Serendipity with Cubes,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12262,,,Custom,Chronolapse,Windows,Blender,http://www.ludumdare.com/compo/2012/04/25/serendipity-with-cubes-a-postmortem-and-timelapse/,http://www.ludumdare.com/compo/2012/04/25/serendipity-with-cubes-a-postmortem-and-timelapse/,
4/30/2012 11:51:09,C++,,SDL,,"BFXR, Audacity",BubuIIC,Trapped Genie,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11335,,http://www.earslap.com/projectslab/otomata ,Custom,Chronolapse,Windows,,,,
5/1/2012 1:34:23,C++,SDL,Custom (Spice),Gimp,BFXR,canary40,Tiny World Water,http://www.ludumdare.com/compo/ludum-dare-23/?action=me,,,,,Windows,,,,
5/1/2012 4:38:46,C++,,Custom,ASESprite,,Kayamon,I Heart Ludum Dare,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=2658,,,Custom,Chronolapse,Windows,,http://www.youtube.com/watch?v=R98mENbJXMU,,
5/1/2012 5:42:32,C++,,SFML,Gimp,SFXR,olav_st,Snowglobe,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7758,,SunVox,,Glapse,Linux,,,,
5/1/2012 9:29:13,C++,,SDL,Gimp,BFXR,Jonny D,Tiny World War,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=654,,FL Studio,,,"Windows, Linux",,,,
5/1/2012 13:24:24,C++,Custom,SDL,PyxelEdit,SFXR,FANatiko,Arnold Bros (est. 1905),http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11264,,Otomata,,Chronolapse,Windows,,http://www.youtube.com/watch?v=lCet8gioBAc,,
5/2/2012 2:05:51,C++,,SFML,Photoshop,BFXR,hyperturtle,Of mice and giants,https://github.com/downloads/hyperturtle/hyperturtle.github.com/MICEANDGIANTS.zip,,LMMS,,Chronolapse,Windows,,http://www.youtube.com/watch?v=9L-UFQxepvY&feature=youtu.be,,
4/25/2012 11:12:42,"C++, C#",Custom (ByteFlare),Indirectly GDI+,Gimp,,BUTS_flux,Tiny Globsch alone against the sandstorm,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12139,,,"Gimp, notepad.exe",Chronolapse,Windows,,,,
4/25/2012 15:00:27,"C++, JavaScript",Custom,"Custom, SoundManager 2",Photoshop,"BFXR, Adobe Audition",PoV,Nook,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=19,,,Tiled,,Windows,,,,
4/30/2012 21:20:17,"C++, javascript",,SDL,gimp,,manax,snowglobe,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11029,,,,custom,"Linux, web",,http://www.heroicproportions.org/ld23,,
4/25/2012 10:49:47,CellScript++,Cellgine 2.0,,Paint.net,FL Studio,Cellusious,dLeIaFtEh,http://www.ludumdare.com/compo/ludum-dare-23/?action=rate&uid=3295,,FL Studio,,,"Windows, CellOS",,,,
4/24/2012 16:21:48,Clojurescript,,,Photoshop,CFXR,netguy204,Little Mischief Makers,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5044,,Garage Band,,bash script,Mac,,http://www.youtube.com/watch?v=YFzSotgng_I&feature=youtu.be,,
4/27/2012 21:22:16,ClojureScript,,,Pixen,,yoklov,Crashed on Planed Minutiae,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7728,,,,,Mac,,,http://www.ludumdare.com/compo/2012/04/27/crashed-on-planet-minutiae-post-mortem/,
4/26/2012 12:58:29,CoffeeScript,PixieEngine,PixieDust,Pixie,SFXR,STRd6,Marble Worlds,http://pixieengine.com/projects/1822/fullscreen,,MilkyTracker,PixieEngine,,Linux,,,,
4/26/2012 18:03:37,Coffeescript,,Akihabara,Gimp,,namuol,muniverse,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12236,,,,,Linux,,,,
4/29/2012 5:42:58,CoffeeScript,,,GrafX2,BFXR,nornagon,Polarity,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11649,,,Custom,ScreenNinja,Mac,,,,
5/1/2012 1:18:05,CoffeeScript,,,Photoshop,,davidpeter,so small,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3323,,,,,Mac,,,,
4/26/2012 15:43:53,"CoffeeScript, Javascript",,JawsJs,Photoshop,BFXR,Nibelung,Starvin' Marvin,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7377,,FL Studio (Free),Tiled,Chronolapse,Windows,,,,
4/25/2012 8:44:08,CoolBasic,,,"Paint, Gimp","SFXR, Audacity",dem0,Itty Bitty Boxy Thingy,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8546,,,Notepad,Chronolapse,Windows,,http://www.youtube.com/watch?v=i3_xBB6D1dE,http://www.ludumdare.com/compo/2012/04/25/post-mortem-2-2/,
4/26/2012 14:53:13,Custom,Flash,Custom,Photoshop,BFXR,frosty,c1ph3r,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=1186,,FL Studio,,,Windows,,,http://www.ludumdare.com/compo/2012/04/23/cph3r-post-mortem/,
4/26/2012 22:03:11,Delphi,GameMaker,,Paint Tool SAI,SFXR,Fenyx,Tiny Girl,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=2976,,"SchismTracker, AutoTracker-bu",,Chronolapse,Windows,,http://www.youtube.com/watch?v=VhJJfrGAne0&context=C4535b46ADvjVQa1PpcFMGW1ZGyR2gJcr0pWX7BIbmgLEyQXs0q0c=,,
4/25/2012 14:18:35,drag & drop,RPG Maker 2003,,graphicsgale,bfxr,angrygeometry,untitled so far,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5579,,custom,,,Windows,,,,
4/24/2012 11:44:52,flash,,flixel,Paint,bfxr,PapyGaragos,Frustrating Tiny Rooms,https://bitly.com/IysZkV,,,,,Windows,,,,
4/25/2012 16:43:04,Flash,,FlashPunk,GraphicsGale,Audacity,Jacic,Tiny Adventures In SPACE,http://www.ludumdare.com/compo/ludum-dare-23/?action=rate&uid=5267,,,,,Windows,,,,
4/25/2012 18:01:07,Flash,Custom,Custom,Photoshop,SFXR,Make A Game,Overpopulous,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5631,,,,,Windows,,,http://www.ludumdare.com/compo/2012/04/25/overpopulous-postmortem/,
4/26/2012 16:48:21,Flash,Stencyl,,Paint,,toaster,Tiny Archaeologist,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8229,,Pxtone,Stencyl,,Windows,,,http://www.ludumdare.com/compo/2012/04/23/postmortem-for-my-first-ld/,
4/26/2012 11:14:36,"Flash, Actionscript 3",,,Paint.net / Flash,sfxr,d_durham,"Robots Are Red, Violets Are Blue",http://www.ludumdare.com/compo/ludum-dare-23/?action=rate&uid=11520,,,,Chronolapse,Windows,,,http://www.ludumdare.com/compo/2012/04/23/post-mortem-robots-are-red/,
4/25/2012 9:57:20,Flash/FlexSDK,,Custom,Gimp,"as3SFXR, Audacity",uberneen,A Theft of Mass,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10893,,,Random Map + Static elements,ffmpeg -f x11grab - Gave up on these after so many silly mistakes.,Linux,,,http://www.ludumdare.com/compo/2012/04/25/a-theft-of-mass-post-mortem/,
4/25/2012 22:53:59,Game Engine,Construct 2,,"Photoshop, MSPaint",Audacity,7Soul,Biodome,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=2958,,FL Studio,"Tiled, Ogmo",Chronolapse,Windows,,http://www.youtube.com/watch?v=9X-BpRM-29M,,
4/25/2012 15:03:49,Game Maker,GameMaker,,GraphicsGale,,MattDubuc,Tiny Ferrets,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11434,,,,Chronolapse,Windows,,http://www.youtube.com/watch?v=cFqzLlvOqek,,
4/26/2012 12:39:22,Game Maker,Game Maker,,Gimp,"SFXr, Audacity",thatshelby,Orbiter,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=4791,,beepbox.co,,chronolapse (but forgot to turn it on),Windows,,,,
5/1/2012 9:46:28,Game Maker,Game Maker,,Paint.NET,,kylerhoades,Urth Defense,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3495,,Wolfram Tones,,,Windows,,,,
4/26/2012 12:21:27,Game Maker Language,GameMaker,,Paint.net,"SFXR, Audacity",Magnesium Ninja,Shrunkit,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3595,,FL Studio,,,Windows,,,,
4/26/2012 17:05:18,Game Maker Language,Game Maker,,Gimp,"sfxr, Audacity",Khayet,Junior's Car,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=9592,,,,,Windows,,,,
4/26/2012 20:40:24,Game Maker Language,Game Maker,,MS Paint,,ScorpionR95,Pivotaion,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=9322,,,,,Windows,,,,
4/30/2012 15:14:14,Game Maker Language,GameMaker,,Game Maker Sprite Editor,BFXR,MadGnomeGamer,My Kid Dropped The Planet,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10251,,,Game Maker Level Editor,,Windows,,,,
4/27/2012 2:57:51,Game Maker Language(GML),GameMaker,,Gimp,,ineap09,YinYang Temple,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12015,,,,,Windows,,,,
4/26/2012 15:08:58,GameMaker,GameMaker,,Gimp,,Nilmrots,The Lost Isles,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=9307,,MuseScore,GameMaker,,Windows,,,,
4/26/2012 21:42:11,GameMaker,GameMaker,,Gimp,,Wizered67,Jack Primus and the Adventure of Tiny Things,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11631,,,,,Windows,,,,
4/27/2012 18:44:09,GameMaker GML,GameMaker,GameMaker,Gimp,SFXR,Dr. Mo,Asteroid Defender,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8780,,VGM Music Maker,GameMaker,,Windows,,,http://www.ludumdare.com/compo/category/ld-23/?author_name=dr-mo&category=ld-23,
4/25/2012 12:03:22,GLBasic,GLBasic,GLBasic,MSPaint,,KungPhoo,StarTrash Galaxy,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=25,,,,,"Windows, Mac, Linux",AC3D,,http://www.ludumdare.com/compo/2012/04/23/startrash-galaxy-postmortem/,
4/26/2012 15:16:55,glbasic,glbasic,,Photoshop,Audacity,monkeyarmada,Tiny Ranger,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=2883,,Garage Band,,Chronolapse,Windows,,http://www.youtube.com/watch?v=psY9DpQHiVU,http://www.ludumdare.com/compo/2012/04/24/tiny-ranger-postmortem/,
4/30/2012 18:33:45,GLBasic,n/a,n/a,Paint in Windows and SketchBook Pro on the iPad,SFXR,Zyll,So You Want to Create a Game,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=4916,,n/a,n/a,n/a,Windows,n/a,,http://blog.pjarosak.com/2012/04/22/ld23-so-you-want-to-create-a-game/,
4/24/2012 14:42:49,GML,GameMaker,,"GameMaker, Paint Shop Pro 7",SFXR,derdragon,12 Days in a Snow Globe,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=299,,Musagi,GameMake,Chronolapse,Windows,,,,
4/25/2012 8:37:22,GML,Game Maker,,Gimp,"SFXR, Audacity",Harrk,Lone World,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=4626,,,,,Windows,,,,
4/25/2012 10:32:17,GML,GameMaker,,"Flash, GraphicsGale",SFXR,tentontoon,Attack on the Planet XXS-01,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11273,,PXTone,,,Windows,,,,
4/25/2012 10:53:53,GML,GameMaker,,,SFXR,free_napalm,Gale Axile,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12423,,Otomata,,,Windows,,,http://www.ludumdare.com/compo/2012/04/24/gale-axile-post-mortem/,
4/25/2012 12:56:31,GML,GameMaker,,GM Sprite Editor,BFXR,LegacyCrono,MacroPong,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3093,,FL Studio,GM Room Editor,Chronolapse,Windows,,,,
4/25/2012 14:45:51,GML,GameMaker,,Paint.net,Audacity,Sanguine,$ales,http://www.ludumdare.com/compo/ludum-dare-23/?uid=4159,,,,Chronolapse,Windows,,,http://www.ludumdare.com/compo/2012/04/24/ales-post-mortem/,
4/25/2012 15:13:04,GML,GameMaker,,Paint.net,SFXR,iFredQC,Kids' Wars,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7462,,,,Chronolapse,Windows,,http://www.youtube.com/watch?v=b8sJQsxGvvM,,
4/25/2012 15:29:05,GML,GameMaker,,,,SLiV,HMS Imahara,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5277,,,,,Windows,,,,
4/25/2012 15:29:53,GML,GameMaker,,pixlr.com,,Cappibara,Tiny Invasion,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11893,,,,,Windows,,,,
4/25/2012 16:54:38,GML,GameMaker,,MS Paint 6.1,BFXR,Sheep,Mayor vs Aliens,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5959,,Autotracker-Bu,,Chronolapse,Windows,,http://www.youtube.com/watch?v=7C5lnPCxV30,http://www.ludumdare.com/compo/2012/04/25/post-mortem-mayor-vs-aliens/,
4/26/2012 0:26:08,GML,GameMaker,,Paint.Net,SFXR,Jilius,Affinity World,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8210,,OpenMPT,GameMaker's implemented editor,Chronolapse,Windows,,http://www.youtube.com/watch?v=sotRGd2vUWw,http://www.ludumdare.com/compo/2012/04/25/affinity-world-postmortem/,
4/26/2012 3:28:22,GML,GameMaker,,Flash,,Robotic,The World in a Bottle,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8502,,,,Chronolapse,Windows,,,,
4/26/2012 8:01:39,GML,GameMaker,,GameMaker Sprite Editor,SFXR,Nanolotl,Conquest of the Cuber-Ovine,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=4470,,,,,Windows,,,,
4/26/2012 11:59:23,GML,GameMaker,,"Photoshop, Illustrator",BFXR,steamgirl,Tiny Garden of Hope,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12097,,"Aviary Music Creator (Roc), AVS Audio Editor",,Camstudio Recorder,Windows,,,Doing one later,
4/26/2012 12:07:07,GML,Game Maker,,Adobe Flash,BFXR,orgarus,Lost Lapootah,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11198,,,,,"Windows, Mac",,,,
4/26/2012 14:34:06,GML,GameMaker,,Gimp,BFXR,Shackhal,Hoperay,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10863,,,,,Windows,,,,
4/26/2012 18:24:57,GML,GameMaker,,GameMaker,BFXR,moltanem2000,Circuit,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=1548,,,GameMaker,,Windows,,,,
4/26/2012 20:23:17,GML,GameMaker,,"GameMaker,Gimp",,character,Survivor,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12424,,FruityLoops,,,Windows,,,,
4/26/2012 21:03:01,GML,GameMaker,,Paint,,KingKay,Pivotation,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=9322,,LMMS,,,Windows,,,,
4/27/2012 3:08:50,Gml,Gamemaker,,Gimp,Bfxr,Daz,Tiny domination,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=383,,Lmms,,Chronolapse,Windows,,http://youtu.be/Gpd7dHOYlU8,,
4/27/2012 7:09:31,GML,GameMaker,GameMaker,Photoshop,SFXR,Flyboy,Pixel Story,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=2581,,,GameMaker,Chronolapse,Windows,,http://www.youtube.com/watch?v=4FR7FS7lHqI&lc=1BkKujZdN8v8U-nAtamT-OLjNYLVuiWSfKrnDcauZ6g&feature=inbox,,
4/28/2012 12:31:34,GML,Game maker,,Paint.Net,Autotracker. py,volando,Launch a Rocket,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3725,,Schismtracker,,,"Windows, Mac",,,,
4/28/2012 23:44:49,GML,GameMaker,,Photoshop CS3,SFXR,mooosh,Apocalypse Inc.,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=6474,,,,,Windows,,,http://www.ludumdare.com/compo/2012/04/28/post-mortem-apocalypse-inc/,
4/29/2012 13:43:58,GML,GameMaker,,Built-In sprite editor,sfxr,Patacorow,Bottled Worlds,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=6685,,,Build-In map editor,,Windows,,,,
4/30/2012 18:48:59,GML,GameMaker,,Paint.net,SFXR,natenaterson,My Little Planet,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=1554,,PX Tone + Audacity,GameMaker,,Windows,,,,
5/2/2012 10:27:40,GML,GameMaker,,Paint,SFXR,JaJ,Ancestor's Sword,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5496,,Anvil studio,,,Windows,,,http://www.ludumdare.com/compo/2012/05/01/ancestors-sword-post-mortem/,
4/26/2012 16:15:08,GMS,GameMaker,,"Inkscape, Gimp",BFXR,bwdevel,Tiny World's Lunar CTF,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12229,,WolframTunes,,,Windows,,,http://www.ludumdare.com/compo/2012/04/24/ld23-post-mortem-for-tiny-worlds-lunar-ctf/,
4/24/2012 16:50:46,Haxe,,NME,Paint Shop Pro 7,Audacity,Markavian,Miniature Worlds,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10967,,Atrk-bu.py,,Chronolapse,Windows,,http://www.youtube.com/watch?v=FZENr7zUr04,,
4/24/2012 21:15:14,Haxe,Custom,Custom,"Gimp, Pablodraw",Custom,Triplefox,Audio Land,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=391,,Custom,,Chronolapse,Windows,,http://www.youtube.com/watch?v=M3hxhelVq7k&feature=youtu.be,http://www.ludumdare.com/compo/2012/04/22/finished-70/,
4/25/2012 16:24:19,haxe,,haxepunk,gimp,,RevoluGame,Pixel World,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=4401,,,tiled,,Linux,,,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=4401,
4/25/2012 17:14:38,haXe,,haXe NME,Gimp,sfxr,jarnik,Minilization,http://www.ludumdare.com/compo/ludum-dare-23/?uid=1163,,Garage Band,,,Linux,,,,
4/26/2012 11:00:18,haXe,,NME,Inkscape,Autotracker,cornedor,Astronautics,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=4506,,,,Custom,Linux,,http://www.youtube.com/watch?v=zNWmv5_3iMU,,
4/27/2012 0:52:56,Haxe,,NME,"Paint.net, Gimp","SFXR, Audacity, GXSCC",jfroco,Haxe Planets,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=2085,,ChordPulse,Tiled,,Windows,,,,
4/27/2012 15:15:38,haXe,,Rygal,Gimp,sfxr,rynti,Crystalbots,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8363,,WolframTones,,,Windows,,,,
4/26/2012 12:28:54,HTML5,Construct 2,,Photoshop Elements,,onehandclap,Tiny the Adventurer,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12918,,,,,Windows,,,,
4/26/2012 22:03:49,"HTML5, Javascript",Construct 2,,Gimp,"BFXR, Source forge audio",Kyatric,Out for arrest,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5250,,,,,Windows,,,,
4/25/2012 16:47:47,Inform 7,Inform 7,,GIMP,,Law,Only Your Home,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12215,,,,,Mac,,,,
4/24/2012 13:57:21,Java,,,Gimp,,royvanrijn,Itty-bitty botty,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12129,,,,,Windows,,,,
4/24/2012 14:38:26,Java,,,Paint.NET,BFXR,jonnopon3000,Calamity,http://www.ludumdare.com/compo/ludum-dare-23/?action=rate&uid=4856,,Procedural Generation,,Chronolapse,Windows,,,,
4/24/2012 15:30:22,Java,,Slick2D,Photoshop,Audacity,Vertigo,Tinybacterus,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12575,,musicMaker.py,,,Windows,,,,
